date, value
7/2/18,73.94
7/3/18,74.14
7/5/18,72.94
7/6/18,73.8
7/9/18,73.85
7/10/18,74.11
7/11/18,70.38
7/12/18,70.33
7/13/18,71.01
7/16/18,68.06
7/17/18,67.896
7/18/18,68.356
7/19/18,68.728
7/20/18,68.7
7/23/18,67.89
7/24/18,68.52
7/25/18,69.3
7/26/18,69.61
7/27/18,68.69
7/30/18,70.13
7/31/18,68.76
8/1/18,67.66
8/2/18,68.96
8/3/18,68.49
8/6/18,69.01
8/7/18,69.17
8/8/18,66.94
8/9/18,66.81
8/10/18,67.63
8/13/18,67.2
8/14/18,67.04
8/15/18,65.01
8/16/18,65.344
8/17/18,65.63
8/20/18,65.824
8/21/18,66.142
8/22/18,67.86
8/23/18,67.83
8/24/18,68.72
8/27/18,68.87
8/28/18,68.53
8/29/18,69.51
8/30/18,70.25
8/31/18,69.8
9/4/18,69.87
9/5/18,68.72
9/6/18,67.77
9/7/18,67.75
9/10/18,67.54
9/11/18,69.25
9/12/18,70.37
9/13/18,68.59
9/14/18,68.99
9/17/18,68.864
9/18/18,69.746
9/19/18,70.91
9/20/18,70.416
9/21/18,70.78
9/24/18,72.08
9/25/18,72.28
9/26/18,71.57
9/27/18,72.12
9/28/18,73.25
10/1/18,75.3
10/2/18,75.23
10/3/18,76.41
10/4/18,74.33
10/5/18,74.34
10/8/18,74.29
10/9/18,74.96
10/10/18,73.17
10/11/18,70.97
10/12/18,71.34
10/15/18,71.78
10/16/18,71.92
10/17/18,69.74
10/18/18,68.674
10/19/18,69.216
10/22/18,69.322
10/23/18,66.43
10/24/18,66.82
10/25/18,67.33
10/26/18,67.59
10/29/18,67.04
10/30/18,66.18
10/31/18,65.31
11/1/18,63.69
11/2/18,63.14
11/5/18,63.1
11/6/18,62.21
11/7/18,61.67
11/8/18,60.67
11/9/18,60.19
11/12/18,59.93
11/13/18,55.69
11/14/18,56.288
11/15/18,56.548
11/16/18,56.592
11/19/18,57.112
11/20/18,53.43
11/21/18,54.63
11/23/18,50.42
11/26/18,51.63
11/27/18,51.56
11/28/18,50.29
11/29/18,51.45
11/30/18,50.93
12/3/18,52.95
12/4/18,53.25
12/5/18,52.89
12/6/18,51.49
12/7/18,52.61
12/10/18,51
12/11/18,51.65
12/12/18,51.15
12/13/18,52.58
12/14/18,51.254
12/17/18,50.008
12/18/18,46.456
12/19/18,47.976
12/20/18,45.88
12/21/18,45.59
12/24/18,42.53
12/26/18,46.22
12/27/18,44.61
12/28/18,45.33
12/31/18,45.41
1/2/19,46.54
1/3/19,47.09
1/4/19,47.96
1/7/19,48.52
1/8/19,49.78
1/9/19,52.36
1/10/19,52.59
1/11/19,51.59
1/14/19,50.51
1/15/19,52.11
1/16/19,52.37
1/17/19,52.186
1/18/19,53.944
1/22/19,52.922
1/23/19,52.62
1/24/19,53.13
1/25/19,53.69
1/28/19,51.99
1/29/19,53.31
1/30/19,54.23
1/31/19,53.79
2/1/19,55.26
2/4/19,54.56
2/5/19,53.66
2/6/19,54.01
2/7/19,52.64
2/8/19,52.72
2/11/19,52.41
2/12/19,53.1
2/13/19,53.9
2/14/19,54.486
2/15/19,55.746
2/19/19,56.306
2/20/19,57.112
2/21/19,56.96
2/22/19,57.26
2/25/19,55.48
2/26/19,55.5
2/27/19,56.94
2/28/19,57.22
3/1/19,55.8
3/4/19,56.59
3/5/19,56.56
3/6/19,56.22
3/7/19,56.66
3/8/19,56.07
3/11/19,56.79
3/12/19,56.87
3/13/19,58.26
3/14/19,58.61
3/15/19,58.58
3/18/19,59.206
3/19/19,59.186
3/20/19,60.15
3/21/19,59.98
3/22/19,59.04
3/25/19,58.82
3/26/19,59.94
3/27/19,59.41
3/28/19,59.3
3/29/19,60.14
4/1/19,61.59
4/2/19,62.58
4/3/19,62.46
4/4/19,62.1
4/5/19,63.08
4/8/19,64.4
4/9/19,63.98
4/10/19,64.61
4/11/19,63.58
4/12/19,63.89
4/15/19,63.4
4/16/19,64.078
4/17/19,63.804
4/18/19,64.042
